Widget [sequenceId=1, transactionId=1431, description=1431 description, category=B, price=73.0]
Widget [sequenceId=2, transactionId=4964, description=4964 description, category=C, price=30.0]
Widget [sequenceId=3, transactionId=4899, description=4899 description, category=C, price=79.0]
Widget [sequenceId=4, transactionId=3922, description=3922 description, category=C, price=64.0]
Widget [sequenceId=5, transactionId=4939, description=4939 description, category=C, price=95.0]
Widget [sequenceId=6, transactionId=1424, description=1424 description, category=D, price=56.0]
Widget [sequenceId=7, transactionId=5914, description=5914 description, category=A, price=50.0]
Widget [sequenceId=8, transactionId=3149, description=3149 description, category=D, price=44.0]
Widget [sequenceId=9, transactionId=3188, description=3188 description, category=D, price=78.0]
Widget [sequenceId=10, transactionId=8192, description=8192 description, category=A, price=65.0]
Widget [sequenceId=11, transactionId=1008, description=1008 description, category=B, price=42.0]
Widget [sequenceId=12, transactionId=1381, description=1381 description, category=A, price=39.0]
Widget [sequenceId=13, transactionId=1083, description=1083 description, category=A, price=99.0]
Widget [sequenceId=14, transactionId=3478, description=3478 description, category=B, price=75.0]
Widget [sequenceId=15, transactionId=4350, description=4350 description, category=A, price=95.0]
Widget [sequenceId=16, transactionId=6564, description=6564 description, category=A, price=63.0]
Widget [sequenceId=17, transactionId=1733, description=1733 description, category=D, price=89.0]
Widget [sequenceId=18, transactionId=7005, description=7005 description, category=B, price=86.0]
Widget [sequenceId=19, transactionId=1941, description=1941 description, category=A, price=59.0]
Widget [sequenceId=20, transactionId=7865, description=7865 description, category=B, price=45.0]
Widget [sequenceId=21, transactionId=1414, description=1414 description, category=D, price=68.0]
Widget [sequenceId=22, transactionId=4657, description=4657 description, category=C, price=29.0]
Widget [sequenceId=23, transactionId=4276, description=4276 description, category=A, price=94.0]
Widget [sequenceId=24, transactionId=1069, description=1069 description, category=C, price=33.0]
Widget [sequenceId=25, transactionId=5283, description=5283 description, category=D, price=43.0]
Widget [sequenceId=26, transactionId=9475, description=9475 description, category=B, price=63.0]
Widget [sequenceId=27, transactionId=3405, description=3405 description, category=D, price=58.0]
Widget [sequenceId=28, transactionId=6485, description=6485 description, category=B, price=80.0]
Widget [sequenceId=29, transactionId=2008, description=2008 description, category=B, price=30.0]
Widget [sequenceId=30, transactionId=6377, description=6377 description, category=D, price=78.0]
Widget [sequenceId=31, transactionId=6707, description=6707 description, category=C, price=80.0]
Widget [sequenceId=32, transactionId=7149, description=7149 description, category=D, price=39.0]
Widget [sequenceId=33, transactionId=7351, description=7351 description, category=C, price=78.0]
Widget [sequenceId=34, transactionId=9502, description=9502 description, category=D, price=76.0]
Widget [sequenceId=35, transactionId=3667, description=3667 description, category=A, price=58.0]
Widget [sequenceId=36, transactionId=7267, description=7267 description, category=D, price=42.0]
Widget [sequenceId=37, transactionId=1895, description=1895 description, category=D, price=83.0]
Widget [sequenceId=38, transactionId=1558, description=1558 description, category=C, price=54.0]
Widget [sequenceId=39, transactionId=1745, description=1745 description, category=B, price=61.0]
Widget [sequenceId=40, transactionId=9101, description=9101 description, category=D, price=47.0]
Widget [sequenceId=41, transactionId=3288, description=3288 description, category=D, price=58.0]
Widget [sequenceId=42, transactionId=3190, description=3190 description, category=A, price=66.0]
Widget [sequenceId=43, transactionId=7306, description=7306 description, category=A, price=92.0]
Widget [sequenceId=44, transactionId=7279, description=7279 description, category=A, price=79.0]
Widget [sequenceId=45, transactionId=4501, description=4501 description, category=B, price=51.0]
Widget [sequenceId=46, transactionId=5476, description=5476 description, category=A, price=48.0]
Widget [sequenceId=47, transactionId=1175, description=1175 description, category=B, price=28.0]
Widget [sequenceId=48, transactionId=1917, description=1917 description, category=B, price=60.0]
Widget [sequenceId=49, transactionId=8945, description=8945 description, category=C, price=40.0]
Widget [sequenceId=50, transactionId=4982, description=4982 description, category=D, price=76.0]
Widget [sequenceId=51, transactionId=9742, description=9742 description, category=D, price=28.0]
Widget [sequenceId=52, transactionId=9146, description=9146 description, category=A, price=39.0]
Widget [sequenceId=53, transactionId=3118, description=3118 description, category=C, price=74.0]
Widget [sequenceId=54, transactionId=6096, description=6096 description, category=D, price=36.0]
Widget [sequenceId=55, transactionId=4478, description=4478 description, category=B, price=97.0]
Widget [sequenceId=56, transactionId=3388, description=3388 description, category=B, price=25.0]
Widget [sequenceId=57, transactionId=2113, description=2113 description, category=B, price=98.0]
Widget [sequenceId=58, transactionId=5855, description=5855 description, category=C, price=29.0]
Widget [sequenceId=59, transactionId=5706, description=5706 description, category=B, price=83.0]
Widget [sequenceId=60, transactionId=6604, description=6604 description, category=A, price=49.0]
Widget [sequenceId=61, transactionId=9346, description=9346 description, category=C, price=64.0]
Widget [sequenceId=62, transactionId=2088, description=2088 description, category=D, price=36.0]
Widget [sequenceId=63, transactionId=7177, description=7177 description, category=D, price=44.0]
Widget [sequenceId=64, transactionId=1849, description=1849 description, category=B, price=100.0]
Widget [sequenceId=65, transactionId=1601, description=1601 description, category=C, price=94.0]
Widget [sequenceId=66, transactionId=6662, description=6662 description, category=A, price=69.0]
Widget [sequenceId=67, transactionId=1394, description=1394 description, category=A, price=30.0]
Widget [sequenceId=68, transactionId=2147, description=2147 description, category=D, price=94.0]
Widget [sequenceId=69, transactionId=8424, description=8424 description, category=D, price=30.0]
Widget [sequenceId=70, transactionId=4646, description=4646 description, category=D, price=87.0]
Widget [sequenceId=71, transactionId=5844, description=5844 description, category=B, price=84.0]
Widget [sequenceId=72, transactionId=5902, description=5902 description, category=C, price=55.0]
Widget [sequenceId=73, transactionId=2173, description=2173 description, category=B, price=42.0]
Widget [sequenceId=74, transactionId=1014, description=1014 description, category=B, price=69.0]
Widget [sequenceId=75, transactionId=6794, description=6794 description, category=A, price=50.0]
